split,image_id,true_label,resnet_probability,resnet_label,densenet_probability,densenet_label,efficientnet_probability,efficientnet_label,gel_probability,gel_label
train,IMG0001364.jpg,Fractured,0.9425,Fractured,0.9971,Fractured,0.7772,Fractured,0.9230,Fractured
train,IMG0001365.jpg,Fractured,0.7165,Fractured,0.9981,Fractured,0.9449,Fractured,0.8971,Fractured
train,IMG0001366.jpg,Fractured,0.9108,Fractured,0.9980,Fractured,0.9036,Fractured,0.9465,Fractured
train,IMG0001367.jpg,Fractured,0.6937,Fractured,0.9997,Fractured,0.8942,Fractured,0.8776,Fractured
train,IMG0001380.jpg,Fractured,0.9946,Fractured,0.9907,Fractured,0.9592,Fractured,0.9837,Fractured
train,IMG0001381.jpg,Fractured,0.9976,Fractured,0.9982,Fractured,0.9954,Fractured,0.9973,Fractured
train,IMG0001382.jpg,Fractured,0.9988,Fractured,0.9975,Fractured,0.9923,Fractured,0.9965,Fractured
train,IMG0001391.jpg,Fractured,0.3608,Non_fractured,0.9892,Fractured,0.6416,Fractured,0.7278,Fractured
train,IMG0001392.jpg,Fractured,0.6084,Fractured,0.9967,Fractured,0.8452,Fractured,0.8372,Fractured
train,IMG0001410.jpg,Fractured,0.9281,Fractured,0.9904,Fractured,0.8223,Fractured,0.9274,Fractured
train,IMG0001411.jpg,Fractured,0.8219,Fractured,0.9965,Fractured,0.8934,Fractured,0.9157,Fractured
train,IMG0001428.jpg,Fractured,0.9402,Fractured,0.9974,Fractured,0.6073,Fractured,0.9611,Fractured
train,IMG0001440.jpg,Fractured,0.9581,Fractured,0.9969,Fractured,0.8929,Fractured,0.9578,Fractured
train,IMG0001441.jpg,Fractured,0.5529,Fractured,0.9984,Fractured,0.8541,Fractured,0.9273,Fractured
train,IMG0001494.jpg,Fractured,0.5127,Non_fractured,0.8896,Fractured,0.6589,Fractured,0.7130,Fractured
train,IMG0001495.jpg,Fractured,0.9569,Fractured,0.9970,Fractured,0.6497,Fractured,0.9690,Fractured
train,IMG0001546.jpg,Fractured,0.8499,Fractured,0.9999,Fractured,0.9518,Fractured,0.9410,Fractured
train,IMG0001570.jpg,Fractured,0.9985,Fractured,0.9899,Fractured,0.9917,Fractured,0.9930,Fractured
train,IMG0001571.jpg,Fractured,0.9856,Fractured,0.9990,Fractured,0.9911,Fractured,0.9928,Fractured
train,IMG0001572.jpg,Fractured,0.9838,Fractured,0.9999,Fractured,0.9231,Fractured,0.9749,Fractured
train,IMG0001577.jpg,Fractured,0.8734,Fractured,0.9935,Fractured,0.9709,Fractured,0.9505,Fractured
train,IMG0001578.jpg,Fractured,0.9141,Fractured,0.9941,Fractured,0.8279,Fractured,0.9261,Fractured
train,IMG0001639.jpg,Fractured,0.9983,Fractured,0.9992,Fractured,0.9949,Fractured,0.9978,Fractured
train,IMG0001640.jpg,Fractured,0.9954,Fractured,0.9996,Fractured,0.9931,Fractured,0.9966,Fractured
train,IMG0001710.jpg,Fractured,0.7515,Fractured,0.9994,Fractured,0.2846,Non_fractured,0.7943,Fractured
train,IMG0001730.jpg,Fractured,0.5079,Non_fractured,0.9711,Fractured,0.7013,Fractured,0.7700,Fractured
train,IMG0001731.jpg,Fractured,0.7925,Fractured,0.9749,Fractured,0.8894,Fractured,0.8962,Fractured
train,IMG0001738.jpg,Fractured,0.9992,Fractured,0.9984,Fractured,0.9968,Fractured,0.9982,Fractured
train,IMG0001739.jpg,Fractured,0.9942,Fractured,0.9877,Fractured,0.9918,Fractured,0.9908,Fractured
train,IMG0001760.jpg,Fractured,0.1816,Non_fractured,0.9922,Fractured,0.7068,Fractured,0.7559,Fractured
train,IMG0001762.jpg,Fractured,0.9440,Fractured,0.9871,Fractured,0.7844,Fractured,0.9211,Fractured
train,IMG0001763.jpg,Fractured,0.7369,Fractured,0.9992,Fractured,0.9043,Fractured,0.8934,Fractured
train,IMG0001774.jpg,Fractured,0.5251,Fractured,0.9664,Fractured,0.8374,Fractured,0.9010,Fractured
train,IMG0001780.jpg,Fractured,0.9251,Fractured,0.9812,Fractured,0.7896,Fractured,0.9140,Fractured
train,IMG0001781.jpg,Fractured,0.6366,Fractured,0.9922,Fractured,0.7090,Fractured,0.7293,Fractured
train,IMG0001805.jpg,Fractured,0.9978,Fractured,0.9999,Fractured,0.9991,Fractured,0.9990,Fractured
train,IMG0001867.jpg,Fractured,1.0000,Fractured,0.9995,Fractured,0.9920,Fractured,0.9977,Fractured
train,IMG0001868.jpg,Fractured,0.9998,Fractured,0.9993,Fractured,0.9951,Fractured,0.9984,Fractured
train,IMG0001869.jpg,Fractured,0.9996,Fractured,0.9996,Fractured,0.9649,Fractured,0.9906,Fractured
train,IMG0001870.jpg,Fractured,0.0391,Non_fractured,0.6966,Fractured,0.2387,Non_fractured,0.3648,Non_fractured
train,IMG0001916.jpg,Fractured,0.7602,Fractured,0.9974,Fractured,0.5716,Fractured,0.7339,Fractured
train,IMG0001933.jpg,Fractured,0.5087,Non_fractured,0.8995,Fractured,0.7713,Fractured,0.8365,Fractured
train,IMG0001934.jpg,Fractured,0.3600,Non_fractured,0.9967,Fractured,0.5800,Fractured,0.6919,Fractured
train,IMG0001938.jpg,Fractured,0.8297,Fractured,0.9821,Fractured,0.8933,Fractured,0.9119,Fractured
train,IMG0001939.jpg,Fractured,0.9155,Fractured,0.9951,Fractured,0.9637,Fractured,0.9623,Fractured
train,IMG0001948.jpg,Fractured,0.9209,Fractured,0.9999,Fractured,0.6676,Fractured,0.8891,Fractured
train,IMG0001964.jpg,Fractured,0.9246,Fractured,0.9973,Fractured,0.6288,Fractured,0.9554,Fractured
train,IMG0001965.jpg,Fractured,0.4450,Non_fractured,0.9482,Fractured,0.3841,Non_fractured,0.5154,Fractured
train,IMG0001970.jpg,Fractured,0.9978,Fractured,0.9994,Fractured,0.9924,Fractured,0.9971,Fractured
train,IMG0001971.jpg,Fractured,0.9437,Fractured,0.9999,Fractured,0.9870,Fractured,0.9792,Fractured
train,IMG0001980.jpg,Fractured,0.2728,Non_fractured,0.3596,Fractured,0.1088,Non_fractured,0.2675,Non_fractured
train,IMG0001981.jpg,Fractured,0.3764,Non_fractured,0.0954,Non_fractured,0.2388,Non_fractured,0.2196,Non_fractured
train,IMG0002020.jpg,Fractured,0.9541,Fractured,0.9950,Fractured,0.6150,Fractured,0.9656,Fractured
train,IMG0002021.jpg,Fractured,0.8591,Fractured,0.9968,Fractured,0.3418,Non_fractured,0.8685,Fractured
train,IMG0002036.jpg,Fractured,0.9896,Fractured,0.9408,Fractured,0.2887,Non_fractured,0.9182,Fractured
train,IMG0002037.jpg,Fractured,0.9827,Fractured,0.9969,Fractured,0.8972,Fractured,0.9666,Fractured
train,IMG0002085.jpg,Fractured,0.5172,Non_fractured,0.9999,Fractured,0.8967,Fractured,0.9420,Fractured
train,IMG0002086.jpg,Fractured,0.3056,Non_fractured,0.9959,Fractured,0.8542,Fractured,0.8573,Fractured
train,IMG0002105.jpg,Fractured,0.2572,Non_fractured,0.8242,Fractured,0.1224,Non_fractured,0.4073,Fractured
train,IMG0002106.jpg,Fractured,0.2920,Non_fractured,0.5778,Fractured,0.0572,Non_fractured,0.3583,Non_fractured
train,IMG0002122.jpg,Fractured,0.3417,Non_fractured,0.9886,Fractured,0.2470,Non_fractured,0.5163,Fractured
train,IMG0002123.jpg,Fractured,0.9603,Fractured,0.6946,Fractured,0.3250,Non_fractured,0.7220,Fractured
train,IMG0002126.jpg,Fractured,0.8865,Fractured,0.9984,Fractured,0.5361,Fractured,0.9375,Fractured
train,IMG0002127.jpg,Fractured,0.8070,Fractured,0.9982,Fractured,0.8039,Fractured,0.8885,Fractured
train,IMG0002148.jpg,Fractured,0.9993,Fractured,0.9995,Fractured,0.9671,Fractured,0.9910,Fractured
train,IMG0002180.jpg,Fractured,0.8521,Fractured,0.9995,Fractured,0.9498,Fractured,0.9410,Fractured
train,IMG0002181.jpg,Fractured,0.4322,Non_fractured,0.9857,Fractured,0.7833,Fractured,0.8197,Fractured
train,IMG0002208.jpg,Fractured,0.6794,Fractured,0.9826,Fractured,0.8350,Fractured,0.8504,Fractured
train,IMG0002225.jpg,Fractured,0.8848,Fractured,0.9995,Fractured,0.9783,Fractured,0.9585,Fractured
train,IMG0002265.jpg,Fractured,0.2347,Non_fractured,0.9384,Fractured,0.8965,Fractured,0.8606,Fractured
train,IMG0002272.jpg,Fractured,0.7532,Fractured,0.9996,Fractured,0.9622,Fractured,0.9136,Fractured
train,IMG0002274.jpg,Fractured,0.2741,Non_fractured,0.9966,Fractured,0.2231,Non_fractured,0.7685,Fractured
train,IMG0002287.jpg,Fractured,0.3940,Non_fractured,0.6892,Fractured,0.9381,Fractured,0.7082,Fractured
train,IMG0002298.jpg,Fractured,0.7908,Fractured,0.9988,Fractured,0.6575,Fractured,0.8457,Fractured
train,IMG0002299.jpg,Fractured,0.9998,Fractured,0.9997,Fractured,0.9997,Fractured,0.9997,Fractured
train,IMG0002300.jpg,Fractured,0.9998,Fractured,0.9997,Fractured,0.9997,Fractured,0.9997,Fractured
train,IMG0002301.jpg,Fractured,0.7857,Fractured,0.9685,Fractured,0.9842,Fractured,0.9160,Fractured
train,IMG0002302.jpg,Fractured,0.9234,Fractured,0.9478,Fractured,0.9833,Fractured,0.9495,Fractured
train,IMG0002303.jpg,Fractured,0.7554,Fractured,0.9601,Fractured,0.8815,Fractured,0.8763,Fractured
train,IMG0002304.jpg,Fractured,0.2732,Non_fractured,0.7851,Fractured,0.7981,Fractured,0.7678,Fractured
train,IMG0002305.jpg,Fractured,0.9037,Fractured,0.9685,Fractured,0.6406,Fractured,0.8632,Fractured
train,IMG0002306.jpg,Fractured,0.4571,Non_fractured,0.9796,Fractured,0.8002,Fractured,0.8301,Fractured
train,IMG0002307.jpg,Fractured,0.2666,Non_fractured,0.8120,Fractured,0.0878,Non_fractured,0.4082,Fractured
train,IMG0002308.jpg,Fractured,0.4941,Non_fractured,0.9726,Fractured,0.5194,Non_fractured,0.5920,Fractured
train,IMG0002309.jpg,Fractured,0.7746,Fractured,0.8015,Fractured,0.9129,Fractured,0.8222,Fractured
train,IMG0002310.jpg,Fractured,0.8225,Fractured,0.9398,Fractured,0.9495,Fractured,0.9060,Fractured
train,IMG0002311.jpg,Fractured,0.5113,Non_fractured,0.9966,Fractured,0.6259,Fractured,0.6437,Fractured
train,IMG0002312.jpg,Fractured,0.6386,Fractured,0.9994,Fractured,0.3308,Non_fractured,0.7217,Fractured
train,IMG0002313.jpg,Fractured,0.5118,Non_fractured,0.9982,Fractured,0.8401,Fractured,0.8646,Fractured
train,IMG0002314.jpg,Fractured,0.9201,Fractured,0.9983,Fractured,0.7213,Fractured,0.9021,Fractured
train,IMG0002315.jpg,Fractured,0.2144,Non_fractured,0.9933,Fractured,0.4952,Non_fractured,0.6277,Fractured
train,IMG0002316.jpg,Fractured,0.9861,Fractured,1.0000,Fractured,0.9965,Fractured,0.9948,Fractured
train,IMG0002317.jpg,Fractured,0.9848,Fractured,0.9943,Fractured,0.9761,Fractured,0.9866,Fractured
train,IMG0002318.jpg,Fractured,0.6884,Fractured,0.9975,Fractured,0.9462,Fractured,0.8885,Fractured
train,IMG0002319.jpg,Fractured,0.9619,Fractured,0.9996,Fractured,0.9851,Fractured,0.9842,Fractured
train,IMG0002320.jpg,Fractured,0.8692,Fractured,0.9649,Fractured,0.5452,Fractured,0.9120,Fractured
train,IMG0002321.jpg,Fractured,0.9134,Fractured,0.9299,Fractured,0.7099,Fractured,0.8676,Fractured
train,IMG0002322.jpg,Fractured,0.4019,Non_fractured,0.9970,Fractured,0.5903,Fractured,0.7015,Fractured
train,IMG0002323.jpg,Fractured,0.9995,Fractured,0.9978,Fractured,0.9897,Fractured,0.9962,Fractured
train,IMG0002324.jpg,Fractured,0.9958,Fractured,0.9999,Fractured,0.8778,Fractured,0.9669,Fractured
train,IMG0002325.jpg,Fractured,0.9973,Fractured,0.9996,Fractured,0.9863,Fractured,0.9954,Fractured
train,IMG0002326.jpg,Fractured,0.9762,Fractured,0.9998,Fractured,0.9253,Fractured,0.9731,Fractured
train,IMG0002327.jpg,Fractured,0.8102,Fractured,0.9882,Fractured,0.9479,Fractured,0.9226,Fractured
train,IMG0002328.jpg,Fractured,0.9662,Fractured,0.9871,Fractured,0.7186,Fractured,0.9108,Fractured
train,IMG0002329.jpg,Fractured,0.8615,Fractured,0.9988,Fractured,0.9772,Fractured,0.9507,Fractured
train,IMG0002330.jpg,Fractured,0.9477,Fractured,0.9613,Fractured,0.9725,Fractured,0.9600,Fractured
train,IMG0002331.jpg,Fractured,0.9267,Fractured,0.9993,Fractured,0.8494,Fractured,0.9379,Fractured
train,IMG0002332.jpg,Fractured,0.9182,Fractured,0.9598,Fractured,0.7008,Fractured,0.8796,Fractured
train,IMG0002333.jpg,Fractured,0.9344,Fractured,0.9934,Fractured,0.8684,Fractured,0.9426,Fractured
train,IMG0002334.jpg,Fractured,0.9744,Fractured,0.9987,Fractured,0.9637,Fractured,0.9821,Fractured
train,IMG0002335.jpg,Fractured,0.9261,Fractured,0.9967,Fractured,0.8232,Fractured,0.9297,Fractured
train,IMG0002336.jpg,Fractured,0.9696,Fractured,0.9654,Fractured,0.9504,Fractured,0.9628,Fractured
train,IMG0002337.jpg,Fractured,0.9521,Fractured,0.9999,Fractured,0.9499,Fractured,0.9721,Fractured
train,IMG0002338.jpg,Fractured,0.9919,Fractured,1.0000,Fractured,0.9945,Fractured,0.9961,Fractured
train,IMG0002339.jpg,Fractured,0.9935,Fractured,0.9994,Fractured,0.9898,Fractured,0.9951,Fractured
train,IMG0002340.jpg,Fractured,0.9220,Fractured,0.9998,Fractured,0.9188,Fractured,0.9547,Fractured
train,IMG0002341.jpg,Fractured,0.9523,Fractured,0.9996,Fractured,0.9921,Fractured,0.9830,Fractured
train,IMG0002342.jpg,Fractured,0.5038,Non_fractured,0.9991,Fractured,0.6749,Fractured,0.7620,Fractured
train,IMG0002343.jpg,Fractured,0.6037,Fractured,0.9958,Fractured,0.5296,Fractured,0.6486,Fractured
train,IMG0002344.jpg,Fractured,0.9873,Fractured,0.9966,Fractured,0.4852,Non_fractured,0.9755,Fractured
train,IMG0002345.jpg,Fractured,0.7446,Fractured,0.9960,Fractured,0.5706,Fractured,0.7264,Fractured
train,IMG0002346.jpg,Fractured,0.1606,Non_fractured,0.8713,Fractured,0.5767,Fractured,0.6367,Fractured
train,IMG0002347.jpg,Fractured,0.6458,Fractured,0.9353,Fractured,0.1773,Non_fractured,0.7001,Fractured
train,IMG0002348.jpg,Fractured,0.3780,Non_fractured,0.9996,Fractured,0.4133,Non_fractured,0.5910,Fractured
train,IMG0002349.jpg,Fractured,0.9966,Fractured,0.9988,Fractured,0.9952,Fractured,0.9972,Fractured
train,IMG0002350.jpg,Fractured,0.9800,Fractured,0.9995,Fractured,0.9650,Fractured,0.9845,Fractured
train,IMG0002351.jpg,Fractured,0.9146,Fractured,0.9784,Fractured,0.9935,Fractured,0.9626,Fractured
train,IMG0002352.jpg,Fractured,0.9535,Fractured,0.9518,Fractured,0.9396,Fractured,0.9491,Fractured
train,IMG0002353.jpg,Fractured,0.9302,Fractured,0.9999,Fractured,0.9950,Fractured,0.9771,Fractured
train,IMG0002354.jpg,Fractured,0.9995,Fractured,0.9999,Fractured,0.9781,Fractured,0.9941,Fractured
train,IMG0002355.jpg,Fractured,0.7305,Fractured,0.9997,Fractured,0.9433,Fractured,0.9018,Fractured
train,IMG0002356.jpg,Fractured,0.8007,Fractured,0.9997,Fractured,0.7996,Fractured,0.8861,Fractured
train,IMG0002357.jpg,Fractured,0.6543,Fractured,0.9998,Fractured,0.9820,Fractured,0.9786,Fractured
train,IMG0002358.jpg,Fractured,0.9416,Fractured,0.9996,Fractured,0.9287,Fractured,0.9632,Fractured
train,IMG0002359.jpg,Fractured,0.6826,Fractured,0.9571,Fractured,0.6861,Fractured,0.8017,Fractured
train,IMG0002360.jpg,Fractured,0.9250,Fractured,0.3874,Fractured,0.9180,Fractured,0.8843,Fractured
train,IMG0002361.jpg,Fractured,0.5403,Fractured,0.9994,Fractured,0.8235,Fractured,0.8567,Fractured
train,IMG0002362.jpg,Fractured,0.6156,Fractured,0.9944,Fractured,0.4843,Non_fractured,0.7136,Fractured
train,IMG0002363.jpg,Fractured,0.8240,Fractured,0.9886,Fractured,0.8260,Fractured,0.8954,Fractured
train,IMG0002364.jpg,Fractured,0.6706,Fractured,0.9982,Fractured,0.5731,Fractured,0.6949,Fractured
train,IMG0002365.jpg,Fractured,0.0900,Non_fractured,0.9990,Fractured,0.8591,Fractured,0.8455,Fractured
train,IMG0002366.jpg,Fractured,0.8414,Fractured,0.9995,Fractured,0.8690,Fractured,0.9167,Fractured
train,IMG0002367.jpg,Fractured,0.9635,Fractured,0.9989,Fractured,0.9926,Fractured,0.9863,Fractured
train,IMG0002368.jpg,Fractured,0.9685,Fractured,0.9995,Fractured,0.9309,Fractured,0.9721,Fractured
train,IMG0002369.jpg,Fractured,0.6454,Fractured,0.9889,Fractured,0.8846,Fractured,0.8555,Fractured
train,IMG0002370.jpg,Fractured,0.8613,Fractured,0.9993,Fractured,0.9750,Fractured,0.9503,Fractured
train,IMG0002371.jpg,Fractured,0.9467,Fractured,0.9776,Fractured,0.8143,Fractured,0.9256,Fractured
train,IMG0002372.jpg,Fractured,0.9540,Fractured,0.9859,Fractured,0.9791,Fractured,0.9742,Fractured
train,IMG0002373.jpg,Fractured,0.9578,Fractured,0.9845,Fractured,0.9684,Fractured,0.9720,Fractured
train,IMG0002374.jpg,Fractured,0.9833,Fractured,0.9383,Fractured,0.9398,Fractured,0.9526,Fractured
train,IMG0002375.jpg,Fractured,0.8299,Fractured,0.9982,Fractured,0.8513,Fractured,0.9080,Fractured
train,IMG0002376.jpg,Fractured,0.9469,Fractured,0.9997,Fractured,0.9291,Fractured,0.9650,Fractured
train,IMG0002377.jpg,Fractured,0.9237,Fractured,0.9958,Fractured,0.8578,Fractured,0.9376,Fractured
train,IMG0002378.jpg,Fractured,0.9913,Fractured,0.9991,Fractured,0.8593,Fractured,0.9603,Fractured
