ea_id,method,family,type,val_f1,val_auc,val_recall,val_precision,val_threshold,test_f1,test_auc,test_recall,test_precision,test_threshold,vs_gel_val_f1,vs_gel_val_auc,reference,notes
EA-C3,Gradient-boosted trees meta-learner,C,LIT,0.7012987012987013,0.80788900320765,0.6585365853658537,0.75,0.08999999999999998,0.6724137931034483,0.8025225334220555,0.639344262295082,0.7090909090909091,0.08999999999999998,-0.0381,-0.0981,Friedman 2001 (Annals of Statistics),Grid on val F1: depth=1  lr=0.2  subsample=0.8. Staged curve: best_n_trees=6/300. Final refit with best_n_trees. Train in-sample F1=0.9780. Train-val gap=0.2767.
EA-C4,Decision-template combiner,C,LIT,0.7368421052631579,0.9041638927555529,0.6829268292682927,0.8,0.5099999999999999,0.6545454545454545,0.8943802552779626,0.5901639344262295,0.7346938775510204,0.5099999999999999,-0.0026,-0.0018,Kuncheva et al. 2001 (Pattern Recognition),"Parameter-free: 2 class-mean templates on train. Score=sim(T_frac)/(sim(T_frac)+sim(T_nonfrac)), sim=1-MSE. Template gap (T1-T0): ResNet=+0.6932  DenseNet=+0.9426  EfficientNet=+0.6268. Train in-sample F1=0.9589."
EA-C5.2,Feature-engineered stacking — LogReg tier ablation,C,ORIG,0.7368421052631579,0.90370998002784,0.6829268292682927,0.8,0.23999999999999996,0.6542056074766355,0.8951666565845987,0.5737704918032787,0.7608695652173914,0.23999999999999996,-0.0026,-0.0023,Wolpert 1992; Ting & Witten 1999 (base); Tier features: this thesis,"Tier ablation: 5 cumulative configs (T1+T2 → T1+..+T6). T1 baseline from EA-C1 (val F1=0.7368). Best: T1+T2 (7 feat, C=0.001, val F1=0.7368). Train in-sample F1=0.9603."
EA-C5.3,Feature-engineered stacking — MLP tier ablation,C,ORIG,0.7421383647798742,0.8496943654300066,0.7195121951219512,0.7662337662337663,0.25499999999999995,0.6837606837606838,0.8308632266650535,0.6557377049180327,0.7142857142857143,0.25499999999999995,0.0027,-0.0563,Muller et al. 2022 (arXiv:2202.09015) (base); Tier features: this thesis,Tier ablation: 5 cumulative configs (T1+T2 → T1+..+T6). T1 baseline from EA-C2 (val F1=0.7320). Grid: 8 archs (4 single + 4 double layer) × 4 alphas = 32 configs/tier. Best: T1+T2+T3+T4+T5+T6 arch=64 alpha=1.0 (val F1=0.7421). Train in-sample F1=0.9729.
EA-C5.4,Feature-engineered stacking — GBT tier ablation,C,ORIG,0.7228915662650602,0.8525388851903407,0.7317073170731707,0.7142857142857143,0.08499999999999998,0.6721311475409836,0.8138346137559735,0.6721311475409836,0.6721311475409836,0.08499999999999998,-0.0165,-0.0535,Friedman 2001 (Annals of Statistics) (base); Tier features: this thesis,Tier ablation: 5 cumulative configs (T1+T2 → T1+..+T6). T1 baseline from EA-C3 (val F1=0.7013). Grid: 5×4×2=40 configs/tier. Best: T1+T2+T3 sub=0.8 depth=3 lr=0.3 n_trees=3 (val F1=0.7229). Train in-sample F1=0.9896.
EA-C5.5,Feature-engineered stacking — Platt scaling calibration,C,ORIG,0.7368421052631579,0.90370998002784,0.6829268292682927,0.8,0.40499999999999997,0.6542056074766355,0.8951666565845987,0.5737704918032787,0.7608695652173914,0.40499999999999997,-0.0026,-0.0023,Platt 1999 (sigmoid calibration); Niculescu-Mizil & Caruana 2005 (reliability); Guo et al. 2017 (ECE); Base meta-learners: this thesis,"Platt scaling on best C5 configs: LogReg T1+T2, MLP T1+..+T6, GBT T1+T2+T3. CalibratedClassifierCV cv=prefit method=sigmoid fit on val. Best by val F1: LogReg T1+T2 (val F1=0.7368 — INFLATED, fit on val). Honest test ECE: 0.1266 → 0.0316 (ΔECE=-0.0950). Test F1 raw/platt: 0.7049/0.7049. Primary result = test ECE improvement."
EA-C5.6,Feature-engineered stacking — disagreement stratification analysis,C,ORIG,0.7368421052631579,0.90370998002784,0.6829268292682927,0.8,0.23999999999999996,0.6542056074766355,0.8951666565845987,0.5737704918032787,0.7608695652173914,0.23999999999999996,-0.0026,-0.0023,Kuncheva 2014 (diversity in ensembles); Margineantu & Dietterich 1997 (disagreement measures); Source meta-learners: this thesis (EA-C5.2/C5.3/C5.4),"Disagreement stratification: σ_p = std(3 CNN probs), tertile thresholds q33=0.0128 q67=0.0737 from val. 3 strata: Low/Medium/High.  Fixed global threshold per method. Best meta-learner: LogReg T1+T2 (val F1=0.7368 / test F1=0.7049). Primary contribution: per-stratum breakdown in per_method CSV+plots."
EA-D1,Confidence-based selection (highest margin),D,LIT,0.7380952380952381,0.8525540156145979,0.7560975609756098,0.7209302325581395,0.09999999999999998,0.6666666666666666,0.8463190369608615,0.6557377049180327,0.6779661016949152,0.09999999999999998,-0.0013,-0.0534,Cruz et al. 2018,Select model with highest |p_i - 0.5| per sample. Val selection: ResNet=20.0%  DenseNet=74.2%  EfficientNet=5.8%. Parameter-free.
EA-D2,META-DES-style meta-classifier,D,LIT,0.7329192546583851,0.896144767899292,0.7195121951219512,0.7468354430379747,0.29,0.6722689075630253,0.8911741576432157,0.6557377049180327,0.6896551724137931,0.29,-0.0065,-0.0099,Cruz et al. 2015,"3 LogReg meta-clfs (C=1.0, k=10). Meta-features: [p_i, |p_i-0.5|, local_acc_i, sigma_p, mean_p]. LOO k-NN for meta-train. Per-model train thresholds: ResNet=0.490  DenseNet=0.630  EfficientNet=0.560. Mean val competence weights: ResNet=0.3285  DenseNet=0.3567  EfficientNet=0.3148."
EA-D3,Disagreement-triggered gating,D,ORIG,0.7368421052631579,0.9041638927555529,0.6829268292682927,0.8,0.21499999999999997,0.6542056074766355,0.8943802552779626,0.5737704918032787,0.7608695652173914,0.21499999999999997,-0.0026,-0.0018,Extends GEL OAM (this thesis); Cruz et al. 2018,LogReg combiner C=0.001 fit on train (ResNet=0.2810  DenseNet=0.3900  EfficientNet=0.2525). Best δ=0.000: agree=0.0% (mean) / disagree=100.0% (LogReg). δ=0 recovers EA-C1; δ→∞ recovers EA-A1.
EA-D4,Region-of-competence weighting,D,ORIG,0.7393939393939394,0.8952369424438661,0.7439024390243902,0.7349397590361446,0.26999999999999996,0.6829268292682927,0.8902062791119715,0.6885245901639344,0.6774193548387096,0.26999999999999996,-0.0,-0.0108,Extends Woloszynski & Kurzynski 2011,k=30 (swept on val F1). Per-model train thresholds: ResNet=0.490  DenseNet=0.630  EfficientNet=0.560. Mean val weights (best k): ResNet=0.3309  DenseNet=0.3552  EfficientNet=0.3139.
EA-D5,Body-part-constrained region-of-competence weighting,D,ORIG,0.7349397590361446,0.9035889366337833,0.7439024390243902,0.7261904761904762,0.27499999999999997,0.6875,0.8960740427076402,0.7213114754098361,0.6567164179104478,0.27499999999999997,-0.0045,-0.0024,Extends Woloszynski & Kurzynski 2011; body-part stratification (this thesis),k=30 (body-part-constrained k-NN). Per-model train thresholds: ResNet=0.490  DenseNet=0.630  EfficientNet=0.560. Mean val weights: ResNet=0.3315  DenseNet=0.3499  EfficientNet=0.3187. Per-body-part val F1: Hand:F1=0.780  Hip:F1=0.000  Leg:F1=0.684  Mixed:F1=0.643  Shoulder:F1=0.000.
EA-E1,Confidence cascade,E,LIT,0.7425149700598802,0.8471978454275858,0.7560975609756098,0.7294117647058823,0.11499999999999998,0.6776859504132231,0.8468029762264835,0.6721311475409836,0.6833333333333333,0.11499999999999998,0.0031,-0.0588,Alpaydin & Kaynak 1998,Cascade order (by train F1): DenseNet (F1=0.9780) → ResNet (F1=0.8441) → EfficientNet (F1=0.7864). Best delta=0.40. Val stage distribution: Stage0(DenseNet)=440  Stage1(ResNet)=9  Stage2(EfficientNet)=36.
EA-E2,Uncertainty-escalation cascade,E,ORIG,0.7466666666666667,0.9060400653634328,0.6829268292682927,0.8235294117647058,0.42999999999999994,0.6481481481481481,0.8934728691549211,0.5737704918032787,0.7446808510638298,0.42999999999999994,0.0073,0.0,Extends Alpaydin & Kaynak 1998,Stage-1: mean ensemble. Stage-2: LogReg (C=0.001) fit on train. Escalation: |mean - 0.5| < delta. Best delta=0.045. Val escalation rate=1.0%. Ref: delta=0 → mean F1=0.7383 (EA-A1); delta→0.5 → LogReg F1=0.7368 (EA-C1).
