image_path,split,true_label,resnet_cx,resnet_cy,densenet_cx,densenet_cy,eff_cx,eff_cy,dist_resnet_to_mean,dist_dense_to_mean,dist_eff_to_mean
data\dataset_cls\train\Fractured\IMG0000455.jpg,train,Fractured,0.501305,0.58277,0.573764,0.619957,0.600761,0.642275,0.065747,0.015944,0.050206
data\dataset_cls\train\Fractured\IMG0000456.jpg,train,Fractured,0.438183,0.562268,0.457099,0.608144,0.467387,0.551071,0.019772,0.034437,0.02629
data\dataset_cls\train\Fractured\IMG0000466.jpg,train,Fractured,0.60666,0.357603,0.537462,0.467341,0.57493,0.500817,0.090781,0.043708,0.058928
data\dataset_cls\train\Fractured\IMG0000467.jpg,train,Fractured,0.564439,0.474323,0.666222,0.54817,0.605959,0.461415,0.051907,0.07605,0.033804
data\dataset_cls\train\Fractured\IMG0000468.jpg,train,Fractured,0.573165,0.506415,0.793761,0.560766,0.706897,0.46056,0.118143,0.114707,0.051132
data\dataset_cls\train\Fractured\IMG0000470.jpg,train,Fractured,0.683935,0.309263,0.668673,0.408048,0.683029,0.325613,0.038755,0.061208,0.02248
data\dataset_cls\train\Fractured\IMG0000471.jpg,train,Fractured,0.518192,0.45618,0.4554,0.425967,0.632097,0.406531,0.031606,0.07991,0.099567
data\dataset_cls\train\Fractured\IMG0000472.jpg,train,Fractured,0.547047,0.597381,0.447941,0.468043,0.621759,0.446607,0.093724,0.097827,0.100788
data\dataset_cls\train\Fractured\IMG0000479.jpg,train,Fractured,0.628839,0.402506,0.427902,0.475839,0.687325,0.378718,0.050274,0.163634,0.113375
data\dataset_cls\train\Fractured\IMG0000480.jpg,train,Fractured,0.595139,0.350326,0.502977,0.375297,0.604601,0.453569,0.050857,0.066994,0.070936
data\dataset_cls\train\Fractured\IMG0000599.jpg,train,Fractured,0.683558,0.542516,0.70938,0.401925,0.641988,0.534299,0.04988,0.096147,0.055063
data\dataset_cls\train\Fractured\IMG0000600.jpg,train,Fractured,0.539908,0.439602,0.663396,0.444355,0.651556,0.437085,0.078382,0.045287,0.033429
data\dataset_cls\train\Fractured\IMG0000671.jpg,train,Fractured,0.536316,0.572294,0.572235,0.54118,0.465655,0.603193,0.011581,0.056744,0.066706
data\dataset_cls\train\Fractured\IMG0000692.jpg,train,Fractured,0.419633,0.364021,0.495084,0.452575,0.641916,0.476202,0.119694,0.032164,0.131102
data\dataset_cls\train\Fractured\IMG0000702.jpg,train,Fractured,0.321135,0.332343,0.525398,0.533582,0.571256,0.429384,0.18118,0.11469,0.098688
data\dataset_cls\train\Fractured\IMG0000750.jpg,train,Fractured,0.599789,0.471325,0.385145,0.514885,0.556906,0.421168,0.085871,0.136689,0.064386
data\dataset_cls\train\Fractured\IMG0000751.jpg,train,Fractured,0.549491,0.455237,0.432338,0.490311,0.601475,0.487821,0.031313,0.096248,0.074386
data\dataset_cls\train\Fractured\IMG0000758.jpg,train,Fractured,0.619111,0.538374,0.708831,0.321072,0.330424,0.502955,0.107215,0.205072,0.227661
data\dataset_cls\train\Fractured\IMG0000762.jpg,train,Fractured,0.619648,0.557028,0.573988,0.399841,0.400055,0.221469,0.186535,0.043337,0.215764
data\dataset_cls\train\Fractured\IMG0000763.jpg,train,Fractured,0.63649,0.546987,0.372796,0.160054,0.505682,0.334457,0.239209,0.229098,0.012728
data\dataset_cls\train\Fractured\IMG0000776.jpg,train,Fractured,0.45074,0.600732,0.511083,0.508428,0.537828,0.487026,0.084444,0.026153,0.05889
data\dataset_cls\train\Fractured\IMG0000777.jpg,train,Fractured,0.752386,0.484965,0.782092,0.373213,0.761199,0.372076,0.075973,0.040546,0.038221
data\dataset_cls\train\Fractured\IMG0000801.jpg,train,Fractured,0.501166,0.267819,0.477867,0.369573,0.536096,0.313444,0.049279,0.05923,0.03125
data\dataset_cls\train\Fractured\IMG0000804.jpg,train,Fractured,0.488199,0.422769,0.402609,0.365115,0.477324,0.399175,0.042041,0.061562,0.021564
data\dataset_cls\train\Fractured\IMG0000805.jpg,train,Fractured,0.507246,0.397597,0.466971,0.380691,0.521592,0.373299,0.016228,0.031791,0.0253
data\dataset_cls\train\Fractured\IMG0000822.jpg,train,Fractured,0.734587,0.608377,0.763204,0.735311,0.7402,0.676004,0.065849,0.064421,0.006426
data\dataset_cls\train\Fractured\IMG0000844.jpg,train,Fractured,0.65878,0.476254,0.33959,0.324992,0.6227,0.246319,0.173695,0.202219,0.131767
data\dataset_cls\train\Fractured\IMG0000845.jpg,train,Fractured,0.678846,0.576753,0.370621,0.575849,0.60673,0.528337,0.127842,0.182109,0.06333
data\dataset_cls\train\Fractured\IMG0000851.jpg,train,Fractured,0.524349,0.39201,0.474256,0.376626,0.523797,0.373254,0.020359,0.033452,0.017918
data\dataset_cls\train\Fractured\IMG0000852.jpg,train,Fractured,0.684809,0.495322,0.536265,0.431755,0.511697,0.340826,0.129535,0.04232,0.105046
data\dataset_cls\train\Fractured\IMG0001007.jpg,train,Fractured,0.531188,0.304816,0.522973,0.285835,0.485025,0.400035,0.031215,0.045486,0.075226
data\dataset_cls\train\Fractured\IMG0001008.jpg,train,Fractured,0.536747,0.494942,0.475591,0.430937,0.48601,0.398251,0.065272,0.026042,0.045171
data\dataset_cls\train\Fractured\IMG0001025.jpg,train,Fractured,0.586706,0.398713,0.372013,0.471988,0.554429,0.598668,0.122769,0.133561,0.119829
data\dataset_cls\train\Fractured\IMG0001026.jpg,train,Fractured,0.564663,0.508456,0.520303,0.515446,0.477419,0.395871,0.056243,0.042191,0.088714
data\dataset_cls\train\Fractured\IMG0001041.jpg,train,Fractured,0.278449,0.224914,0.737419,0.458295,0.652343,0.44349,0.315863,0.199327,0.117822
data\dataset_cls\train\Fractured\IMG0001073.jpg,train,Fractured,0.454283,0.401765,0.573419,0.500403,0.458682,0.39816,0.051953,0.102767,0.050967
data\dataset_cls\train\Fractured\IMG0001123.jpg,train,Fractured,0.676696,0.953144,0.713631,0.396819,0.484662,0.529459,0.330736,0.246165,0.170604
data\dataset_cls\train\Fractured\IMG0001147.jpg,train,Fractured,0.577945,0.395334,0.484475,0.427387,0.589229,0.506478,0.055035,0.067909,0.074277
data\dataset_cls\train\Fractured\IMG0001148.jpg,train,Fractured,0.6002,0.445327,0.417589,0.455212,0.592168,0.39002,0.065326,0.121665,0.068522
data\dataset_cls\train\Fractured\IMG0001151.jpg,train,Fractured,0.566867,0.428434,0.508887,0.411353,0.527155,0.43798,0.032661,0.029296,0.014017
data\dataset_cls\train\Fractured\IMG0001152.jpg,train,Fractured,0.595956,0.542638,0.491592,0.457104,0.54507,0.545953,0.058559,0.078403,0.030733
data\dataset_cls\train\Fractured\IMG0001191.jpg,train,Fractured,0.635287,0.649134,0.465891,0.738345,0.635921,0.597322,0.057619,0.136715,0.085837
data\dataset_cls\train\Fractured\IMG0001192.jpg,train,Fractured,0.759605,0.440697,0.468891,0.562498,0.711249,0.399667,0.116186,0.201434,0.093806
data\dataset_cls\train\Fractured\IMG0001198.jpg,train,Fractured,0.678932,0.449021,0.619895,0.450431,0.672835,0.586066,0.051004,0.058267,0.092225
data\dataset_cls\train\Fractured\IMG0001199.jpg,train,Fractured,0.54664,0.418009,0.519938,0.410486,0.660432,0.508878,0.040182,0.065974,0.105663
data\dataset_cls\train\Fractured\IMG0001200.jpg,train,Fractured,0.547511,0.284166,0.538765,0.173959,0.526414,0.428347,0.015074,0.121537,0.133323
data\dataset_cls\train\Fractured\IMG0001236.jpg,train,Fractured,0.420703,0.32372,0.404241,0.353866,0.494466,0.527852,0.080394,0.059696,0.137382
data\dataset_cls\train\Fractured\IMG0001350.jpg,train,Fractured,0.824588,0.360643,0.372143,0.518852,0.599009,0.391117,0.234596,0.24568,0.032424
data\dataset_cls\train\Fractured\IMG0001351.jpg,train,Fractured,0.70897,0.614113,0.592494,0.425246,0.642252,0.599854,0.091177,0.133228,0.053748
data\dataset_cls\train\Fractured\IMG0001360.jpg,train,Fractured,0.628366,0.368803,0.566373,0.458662,0.551075,0.368572,0.05521,0.061969,0.043116
data\dataset_cls\train\Fractured\IMG0001361.jpg,train,Fractured,0.517316,0.412979,0.502416,0.31408,0.284869,0.410686,0.089082,0.09386,0.153257
data\dataset_cls\train\Fractured\IMG0001362.jpg,train,Fractured,0.538466,0.423255,0.611465,0.534151,0.61234,0.420455,0.060788,0.07863,0.046138
data\dataset_cls\train\Fractured\IMG0001363.jpg,train,Fractured,0.60018,0.595728,0.6708,0.722979,0.461899,0.459905,0.022734,0.16003,0.176275
data\dataset_cls\train\Fractured\IMG0001364.jpg,train,Fractured,0.631809,0.381994,0.641353,0.38445,0.481673,0.481477,0.057887,0.064619,0.122294
data\dataset_cls\train\Fractured\IMG0001365.jpg,train,Fractured,0.64025,0.34199,0.604866,0.388815,0.645724,0.463943,0.057136,0.027109,0.067484
data\dataset_cls\train\Fractured\IMG0001366.jpg,train,Fractured,0.70303,0.52636,0.455121,0.36575,0.545772,0.39924,0.165646,0.130084,0.038301
data\dataset_cls\train\Fractured\IMG0001367.jpg,train,Fractured,0.540345,0.382069,0.491894,0.373919,0.556209,0.383018,0.011124,0.038026,0.026935
data\dataset_cls\train\Fractured\IMG0001380.jpg,train,Fractured,0.618974,0.631348,0.580145,0.523488,0.551611,0.462541,0.098782,0.016009,0.082988
data\dataset_cls\train\Fractured\IMG0001381.jpg,train,Fractured,0.551837,0.397251,0.504659,0.405609,0.491491,0.477272,0.046395,0.023954,0.056187
data\dataset_cls\train\Fractured\IMG0001382.jpg,train,Fractured,0.476858,0.377782,0.378502,0.435169,0.482597,0.43635,0.049468,0.070037,0.041678
data\dataset_cls\train\Fractured\IMG0001391.jpg,train,Fractured,0.592678,0.706774,0.26527,0.828077,0.378341,0.29392,0.205072,0.263238,0.31747
data\dataset_cls\train\Fractured\IMG0001392.jpg,train,Fractured,0.563978,0.479967,0.688488,0.148703,0.555791,0.252822,0.190132,0.168561,0.062346
data\dataset_cls\train\Fractured\IMG0001410.jpg,train,Fractured,0.549442,0.38728,0.443962,0.460405,0.52635,0.447226,0.061679,0.068915,0.025173
data\dataset_cls\train\Fractured\IMG0001411.jpg,train,Fractured,0.590193,0.492494,0.493628,0.418017,0.515805,0.462871,0.066718,0.056115,0.018129
data\dataset_cls\train\Fractured\IMG0001428.jpg,train,Fractured,0.437853,0.565972,0.324466,0.608744,0.481236,0.587601,0.031707,0.092538,0.066718
data\dataset_cls\train\Fractured\IMG0001440.jpg,train,Fractured,0.579654,0.429653,0.365252,0.500708,0.550473,0.339152,0.081453,0.154131,0.098816
data\dataset_cls\train\Fractured\IMG0001441.jpg,train,Fractured,0.637553,0.411103,0.436265,0.512132,0.551809,0.349444,0.096573,0.137408,0.075439
data\dataset_cls\train\Fractured\IMG0001494.jpg,train,Fractured,0.536356,0.428754,0.517377,0.557047,0.464477,0.473737,0.065217,0.071435,0.043511
data\dataset_cls\train\Fractured\IMG0001495.jpg,train,Fractured,0.581718,0.47415,0.518952,0.566875,0.603491,0.434624,0.022387,0.089637,0.067338
data\dataset_cls\train\Fractured\IMG0001546.jpg,train,Fractured,0.628756,0.617588,0.629983,0.56083,0.631088,0.518126,0.052086,0.004685,0.047402
data\dataset_cls\train\Fractured\IMG0001570.jpg,train,Fractured,0.582812,0.449363,0.555931,0.490357,0.634124,0.549802,0.047842,0.035561,0.068584
data\dataset_cls\train\Fractured\IMG0001571.jpg,train,Fractured,0.588055,0.393134,0.587465,0.388698,0.606473,0.425173,0.010953,0.015121,0.026023
data\dataset_cls\train\Fractured\IMG0001572.jpg,train,Fractured,0.627327,0.363484,0.566209,0.3488,0.576946,0.36272,0.037521,0.02578,0.013923
data\dataset_cls\train\Fractured\IMG0001577.jpg,train,Fractured,0.34724,0.451714,0.362504,0.413263,0.461942,0.451201,0.045227,0.037889,0.072462
data\dataset_cls\train\Fractured\IMG0001578.jpg,train,Fractured,0.461368,0.550417,0.432805,0.484488,0.551333,0.418615,0.069015,0.04903,0.095769
data\dataset_cls\train\Fractured\IMG0001639.jpg,train,Fractured,0.5978,0.367895,0.501302,0.465337,0.63888,0.498563,0.078249,0.080908,0.080816
data\dataset_cls\train\Fractured\IMG0001640.jpg,train,Fractured,0.542771,0.414702,0.497732,0.462443,0.566022,0.42292,0.020017,0.047677,0.032248
data\dataset_cls\train\Fractured\IMG0001710.jpg,train,Fractured,0.352227,0.591184,0.344803,0.567859,0.304413,0.54653,0.029198,0.011009,0.036718
data\dataset_cls\train\Fractured\IMG0001730.jpg,train,Fractured,0.354183,0.575285,0.332458,0.515444,0.438142,0.495561,0.050937,0.04451,0.071404
data\dataset_cls\train\Fractured\IMG0001731.jpg,train,Fractured,0.379669,0.652936,0.278213,0.500581,0.464625,0.378177,0.142478,0.096474,0.160339
data\dataset_cls\train\Fractured\IMG0001738.jpg,train,Fractured,0.428236,0.366285,0.353811,0.376711,0.468813,0.529322,0.058911,0.078951,0.117302
data\dataset_cls\train\Fractured\IMG0001739.jpg,train,Fractured,0.579245,0.330179,0.499818,0.342602,0.555395,0.451234,0.056256,0.055259,0.077289
data\dataset_cls\train\Fractured\IMG0001760.jpg,train,Fractured,0.853574,0.622864,0.370029,0.55047,0.554342,0.650547,0.261351,0.229923,0.05728
data\dataset_cls\train\Fractured\IMG0001762.jpg,train,Fractured,0.532787,0.369946,0.424591,0.496453,0.459409,0.358058,0.071575,0.100347,0.051717
data\dataset_cls\train\Fractured\IMG0001763.jpg,train,Fractured,0.552497,0.622644,0.595884,0.750895,0.634901,0.439721,0.04572,0.146482,0.169599
data\dataset_cls\train\Fractured\IMG0001774.jpg,train,Fractured,0.459989,0.415463,0.618889,0.496046,0.489489,0.416737,0.068471,0.10989,0.042255
data\dataset_cls\train\Fractured\IMG0001780.jpg,train,Fractured,0.553023,0.406246,0.559823,0.457028,0.49881,0.379597,0.017734,0.048347,0.051758
data\dataset_cls\train\Fractured\IMG0001781.jpg,train,Fractured,0.486075,0.434639,0.39149,0.847667,0.3666,0.393623,0.143067,0.289956,0.171893
data\dataset_cls\train\Fractured\IMG0001805.jpg,train,Fractured,0.520852,0.517124,0.474002,0.469785,0.555612,0.584776,0.007879,0.069003,0.072188
data\dataset_cls\train\Fractured\IMG0001867.jpg,train,Fractured,0.516881,0.554114,0.500292,0.579987,0.519067,0.605644,0.026244,0.011788,0.026661
data\dataset_cls\train\Fractured\IMG0001868.jpg,train,Fractured,0.58731,0.518256,0.48692,0.601947,0.581179,0.594336,0.064008,0.071666,0.0372
data\dataset_cls\train\Fractured\IMG0001869.jpg,train,Fractured,0.548884,0.521806,0.567413,0.553009,0.510376,0.593305,0.034876,0.02537,0.049021
data\dataset_cls\train\Fractured\IMG0001870.jpg,train,Fractured,0.29654,0.425492,0.55268,0.5129,0.548904,0.513813,0.179337,0.09131,0.08804
data\dataset_cls\train\Fractured\IMG0001916.jpg,train,Fractured,0.585397,0.450975,0.588206,0.413609,0.411117,0.411141,0.062682,0.061084,0.117968
data\dataset_cls\train\Fractured\IMG0001933.jpg,train,Fractured,0.649863,0.471283,0.460485,0.608799,0.512276,0.556182,0.131814,0.102368,0.030556
data\dataset_cls\train\Fractured\IMG0001934.jpg,train,Fractured,0.433852,0.444885,0.505874,0.4695,0.582022,0.406211,0.073547,0.029334,0.082135
data\dataset_cls\train\Fractured\IMG0001938.jpg,train,Fractured,0.559611,0.500893,0.536433,0.53054,0.592463,0.491669,0.007533,0.03491,0.033686
data\dataset_cls\train\Fractured\IMG0001939.jpg,train,Fractured,0.464273,0.28993,0.45502,0.370644,0.562868,0.457011,0.087803,0.039079,0.108962
data\dataset_cls\train\Fractured\IMG0001948.jpg,train,Fractured,0.598337,0.34905,0.648767,0.474089,0.372364,0.373306,0.076814,0.13242,0.169391
data\dataset_cls\train\Fractured\IMG0001964.jpg,train,Fractured,0.515475,0.534806,0.440624,0.60686,0.340382,0.420724,0.084485,0.086478,0.135786
data\dataset_cls\train\Fractured\IMG0001965.jpg,train,Fractured,0.384696,0.47313,0.477586,0.513189,0.296144,0.498883,0.021985,0.093222,0.090079
data\dataset_cls\train\Fractured\IMG0001970.jpg,train,Fractured,0.595091,0.545895,0.532567,0.542384,0.598839,0.539706,0.019857,0.042933,0.023526
data\dataset_cls\train\Fractured\IMG0001971.jpg,train,Fractured,0.530328,0.535029,0.480376,0.505859,0.536674,0.508275,0.023639,0.036948,0.022402
data\dataset_cls\train\Fractured\IMG0001980.jpg,train,Fractured,0.646141,0.538057,0.571409,0.406367,0.65903,0.273051,0.133829,0.054121,0.136936
data\dataset_cls\train\Fractured\IMG0001981.jpg,train,Fractured,0.825833,0.344197,0.253749,0.316003,0.491955,0.238389,0.305273,0.270598,0.068958
data\dataset_cls\train\Fractured\IMG0002020.jpg,train,Fractured,0.530792,0.389442,0.398901,0.523874,0.590678,0.499494,0.084956,0.120177,0.088615
data\dataset_cls\train\Fractured\IMG0002021.jpg,train,Fractured,0.52839,0.482515,0.382929,0.468456,0.632296,0.458184,0.018858,0.131615,0.118321
data\dataset_cls\train\Fractured\IMG0002036.jpg,train,Fractured,0.537352,0.286945,0.549929,0.313146,0.522501,0.561646,0.100303,0.07529,0.174969
data\dataset_cls\train\Fractured\IMG0002037.jpg,train,Fractured,0.536009,0.459674,0.382649,0.514849,0.516008,0.562348,0.078153,0.095607,0.062718
data\dataset_cls\train\Fractured\IMG0002085.jpg,train,Fractured,0.650579,0.513991,0.49496,0.714023,0.510643,0.617336,0.141182,0.114206,0.041477
data\dataset_cls\train\Fractured\IMG0002086.jpg,train,Fractured,0.484373,0.341719,0.664644,0.750069,0.59999,0.580498,0.237189,0.209226,0.028649
data\dataset_cls\train\Fractured\IMG0002105.jpg,train,Fractured,0.453812,0.583994,0.488735,0.728632,0.530488,0.522405,0.04637,0.116978,0.097611
data\dataset_cls\train\Fractured\IMG0002106.jpg,train,Fractured,0.710534,0.476831,0.396831,0.297777,0.502132,0.215952,0.22758,0.143379,0.119293
data\dataset_cls\train\Fractured\IMG0002122.jpg,train,Fractured,0.515585,0.165517,0.533858,0.299282,0.660442,0.555137,0.18274,0.054403,0.233409
data\dataset_cls\train\Fractured\IMG0002123.jpg,train,Fractured,0.60823,0.308827,0.439461,0.229673,0.69703,0.473673,0.03907,0.178323,0.178614
data\dataset_cls\train\Fractured\IMG0002126.jpg,train,Fractured,0.615802,0.395741,0.498926,0.424626,0.54732,0.366055,0.061787,0.062327,0.030171
data\dataset_cls\train\Fractured\IMG0002127.jpg,train,Fractured,0.631581,0.422062,0.568608,0.449228,0.537296,0.37768,0.052733,0.034555,0.056974
data\dataset_cls\train\Fractured\IMG0002148.jpg,train,Fractured,0.506398,0.405064,0.476478,0.462174,0.481095,0.546281,0.068624,0.014612,0.075424
data\dataset_cls\train\Fractured\IMG0002180.jpg,train,Fractured,0.579797,0.631163,0.292575,0.579095,0.578017,0.515455,0.111391,0.190927,0.111868
data\dataset_cls\train\Fractured\IMG0002181.jpg,train,Fractured,0.691581,0.334673,0.294962,0.422916,0.513075,0.34951,0.194763,0.211877,0.023568
data\dataset_cls\train\Fractured\IMG0002208.jpg,train,Fractured,0.665232,0.247726,0.640225,0.445697,0.49675,0.381901,0.128131,0.095775,0.1066
data\dataset_cls\train\Fractured\IMG0002225.jpg,train,Fractured,0.596481,0.455274,0.636646,0.462332,0.432935,0.395234,0.044759,0.084967,0.129547
data\dataset_cls\train\Fractured\IMG0002265.jpg,train,Fractured,0.668303,0.091559,0.379857,0.357506,0.505545,0.414533,0.2473,0.154616,0.127269
data\dataset_cls\train\Fractured\IMG0002272.jpg,train,Fractured,0.528147,0.20473,0.510702,0.335904,0.477365,0.35271,0.09579,0.038489,0.061672
data\dataset_cls\train\Fractured\IMG0002274.jpg,train,Fractured,0.558597,0.266271,0.374897,0.409811,0.558839,0.685913,0.197437,0.13027,0.239903
data\dataset_cls\train\Fractured\IMG0002287.jpg,train,Fractured,0.507624,0.218908,0.568433,0.578868,0.452745,0.467128,0.202737,0.16788,0.072816
data\dataset_cls\train\Fractured\IMG0002298.jpg,train,Fractured,0.459508,0.692829,0.578915,0.683528,0.384962,0.47983,0.075594,0.12292,0.165237
data\dataset_cls\train\Fractured\IMG0002299.jpg,train,Fractured,0.590659,0.321059,0.522341,0.351327,0.633769,0.440889,0.050733,0.063091,0.086748
data\dataset_cls\train\Fractured\IMG0002300.jpg,train,Fractured,0.590659,0.321059,0.522341,0.351327,0.633769,0.440889,0.050733,0.063091,0.086748
data\dataset_cls\train\Fractured\IMG0002301.jpg,train,Fractured,0.497364,0.234889,0.560316,0.431838,0.579796,0.410844,0.133414,0.074079,0.061824
data\dataset_cls\train\Fractured\IMG0002302.jpg,train,Fractured,0.628309,0.447431,0.635179,0.323705,0.46525,0.488852,0.05885,0.112894,0.130619
data\dataset_cls\train\Fractured\IMG0002303.jpg,train,Fractured,0.524845,0.687959,0.358485,0.431676,0.369007,0.533681,0.173964,0.133191,0.051477
data\dataset_cls\train\Fractured\IMG0002304.jpg,train,Fractured,0.674721,0.592571,0.509409,0.343223,0.525872,0.378557,0.186608,0.112589,0.074127
data\dataset_cls\train\Fractured\IMG0002305.jpg,train,Fractured,0.518976,0.613422,0.319958,0.44345,0.423206,0.490118,0.138609,0.123961,0.025667
data\dataset_cls\train\Fractured\IMG0002306.jpg,train,Fractured,0.658385,0.709508,0.516481,0.43971,0.493171,0.521639,0.183721,0.123727,0.072084
data\dataset_cls\train\Fractured\IMG0002307.jpg,train,Fractured,0.478681,0.437873,0.614703,0.331978,0.429754,0.597549,0.03412,0.163643,0.161773
data\dataset_cls\train\Fractured\IMG0002308.jpg,train,Fractured,0.717391,0.58091,0.670547,0.530865,0.470348,0.351006,0.135295,0.066974,0.202191
data\dataset_cls\train\Fractured\IMG0002309.jpg,train,Fractured,0.409993,0.635099,0.571918,0.389845,0.489568,0.626989,0.116674,0.18024,0.07635
data\dataset_cls\train\Fractured\IMG0002310.jpg,train,Fractured,0.701079,0.203682,0.530406,0.763646,0.580668,0.357797,0.257043,0.330254,0.087108
data\dataset_cls\train\Fractured\IMG0002311.jpg,train,Fractured,0.62231,0.397992,0.545298,0.312645,0.497478,0.374687,0.07641,0.050084,0.058982
data\dataset_cls\train\Fractured\IMG0002312.jpg,train,Fractured,0.55177,0.517127,0.526565,0.402919,0.511158,0.515154,0.04451,0.075552,0.041226
data\dataset_cls\train\Fractured\IMG0002313.jpg,train,Fractured,0.545202,0.587069,0.592852,0.464134,0.555012,0.483998,0.077732,0.055478,0.029267
data\dataset_cls\train\Fractured\IMG0002314.jpg,train,Fractured,0.507245,0.664346,0.471658,0.613962,0.505347,0.477068,0.0802,0.036943,0.108576
data\dataset_cls\train\Fractured\IMG0002315.jpg,train,Fractured,0.652554,0.128736,0.71189,0.145168,0.574233,0.245407,0.044817,0.07136,0.102033
data\dataset_cls\train\Fractured\IMG0002316.jpg,train,Fractured,0.665515,0.645233,0.559674,0.591203,0.510794,0.51581,0.106222,0.020279,0.096265
data\dataset_cls\train\Fractured\IMG0002317.jpg,train,Fractured,0.465274,0.522527,0.446115,0.613,0.396801,0.39152,0.032185,0.104469,0.123882
data\dataset_cls\train\Fractured\IMG0002318.jpg,train,Fractured,0.593718,0.539726,0.509453,0.589992,0.534663,0.429321,0.051809,0.079218,0.09106
